"X","Y","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
-108.044305222222,29.5535,10.8833332061768,16.283332824707,52.0234260559082,569.434875488281,26.7000007629395,-4.59999990463257,31.3000011444092,17.25,10,17.8500003814697,3.98333334922791,593,150,11,91.0138320922852,361,40,317,86
-107.889110777778,29.5595277777778,12.25,17.2999992370605,52.2658615112305,587.730590820312,29,-4.09999990463257,33.0999984741211,18.6166667938232,11.6833333969116,19.3833332061768,5.04999971389771,472,122,10,95.8340835571289,301,34,256,60
-108.507083333333,29.4893052222222,13.466667175293,16.7000007629395,53.1847152709961,561.772094726562,29.2999992370605,-2.09999990463257,31.3999996185303,19.75,12.466667175293,20.3166656494141,6.65000009536743,764,177,11,80.3618927001953,411,55,380,160
-108.453888888889,29.4927774444444,11.2333335876465,16.25,53.9867095947266,533.067138671875,26.3999996185303,-3.70000004768372,30.1000003814697,17.2999992370605,10.0500001907349,17.716667175293,4.81666660308838,779,189,13,83.3256607055664,437,56,400,141
-108.402111111111,29.4951663333333,11.8625001907349,16.158332824707,52.6330070495605,559.167907714844,27.3999996185303,-3.29999995231628,30.6999988555908,18.1833343505859,10.8166666030884,18.6666660308838,5.06666660308838,747,180,12,83.1318435668945,415,55,384,139
-108.041666333333,29.5086388888889,11.720832824707,17.4249992370605,53.125,577.287780761719,28.2999992370605,-4.5,32.7999992370605,18.0666656494141,11.0166664123535,18.716667175293,4.63333320617676,588,148,12,90.3125915527344,356,43,313,88
-107.938694111111,29.5121666666667,11.8666667938232,17.3833332061768,52.8368797302246,583.7275390625,28.5,-4.40000009536743,32.9000015258789,18.216667175293,11.3000001907349,18.9333343505859,4.70000028610229,531,136,11,94.1905364990234,333,37,287,71
-106.856305555556,29.5484718888889,12.8041667938232,16.341667175293,49.8221549987793,596.415283203125,29.2000007629395,-3.59999990463257,32.7999992370605,18.9833335876465,9.14999961853027,20.0499992370605,5.44999980926514,449,111,5,104.814056396484,298,22,266,30
-106.753333333333,29.5511111111111,13.0708332061768,15.7249994277954,48.5339508056641,606.331970214844,29.2999992370605,-3.09999990463257,32.3999977111816,19.3666667938232,9.38333320617676,20.466667175293,5.59999990463257,443,109,4,105.401306152344,294,20,263,28
-108.4,29.4497218888889,11.4166669845581,16.25,53.8079452514648,540.834106445312,26.7000007629395,-3.5,30.2000007629395,17.5833339691162,10.2666664123535,18.033332824707,4.91666650772095,776,190,13,84.5575637817383,438,55,404,139
